Date and time,temperature,humidity

18/03/2022 11:43:51,29.81,0.33
18/03/2022 11:44:33,27.94,0.33
18/03/2022 11:45:15,26.44,0.33
18/03/2022 11:45:56,25.19,0.33
18/03/2022 11:46:38,24.31,0.33
18/03/2022 11:47:20,23.62,0.66
18/03/2022 11:48:02,22.94,0.33
18/03/2022 11:48:44,22.44,0.00
18/03/2022 11:49:26,22.00,0.33
18/03/2022 11:50:07,21.69,0.33
18/03/2022 11:50:49,21.37,0.33
18/03/2022 11:51:31,21.12,0.00
18/03/2022 11:52:13,20.94,0.33
18/03/2022 11:52:54,20.75,0.66
18/03/2022 11:53:36,20.62,0.66
18/03/2022 11:54:20,20.50,0.33
18/03/2022 11:55:02,20.37,0.33
18/03/2022 11:55:43,20.31,0.33
18/03/2022 11:56:25,20.25,0.00
18/03/2022 11:57:07,20.19,0.33
18/03/2022 11:57:49,20.12,0.33
18/03/2022 11:58:31,20.12,0.33
18/03/2022 11:59:12,20.12,0.33
18/03/2022 11:59:54,20.06,0.33
18/03/2022 12:00:36,20.06,0.33
18/03/2022 12:01:18,20.06,0.33
18/03/2022 12:02:00,20.06,0.33
18/03/2022 12:02:42,20.06,0.33
18/03/2022 12:03:24,20.06,0.00
18/03/2022 12:04:05,20.00,0.33
18/03/2022 12:04:47,20.00,0.66
18/03/2022 12:05:29,20.00,0.33
18/03/2022 12:06:11,20.00,0.33
18/03/2022 12:06:53,20.00,0.00
18/03/2022 12:07:35,20.00,0.66
18/03/2022 12:08:16,20.00,0.33
18/03/2022 12:08:58,20.00,0.00
18/03/2022 12:09:40,20.00,0.33
18/03/2022 12:10:22,20.00,0.33
18/03/2022 12:11:04,20.00,0.33
18/03/2022 12:11:46,20.00,0.33
18/03/2022 12:12:27,20.00,0.66
18/03/2022 12:13:09,20.00,0.66
18/03/2022 12:13:51,20.00,0.33
18/03/2022 12:14:33,20.00,0.33
18/03/2022 12:15:15,20.00,0.33
18/03/2022 12:15:57,20.00,0.33
18/03/2022 12:16:39,20.00,0.33
18/03/2022 12:37:31,20.06,0.33
18/03/2022 12:38:13,20.06,0.66
18/03/2022 12:38:55,20.06,0.33
18/03/2022 12:50:45,20.06,0.00
18/03/2022 12:51:26,20.06,0.00
18/03/2022 12:52:08,20.06,0.33
